"ficha_interna","Total"
NULL,"72"
"201605020053","2"
"201605020054","2"
"201605020055","2"
"201605020056","2"
"201605020057","2"
"201605020058","2"
"201605020059","2"
"201605020060","2"
"201605020062","2"
"201605020064","2"
"201605020066","2"
"201605020068","2"
"201605020069","2"
"201605020071","2"
"201605020074","2"
"201605020080","2"
"201605020081","2"
"201605020084","2"
"201605020085","2"
"201605020088","2"
"201605020089","2"
"201605020091","2"
"201605020093","2"
"201605020094","2"
"201605020095","2"
"201605020097","2"
"201605020099","2"
"201605020101","2"
"201605020102","2"
